replay_date,ticker,reference_price,entry_date,entry_price,entry_gap_pct,current_stop_loss,current_target_1,current_target_2,current_exit_date,current_exit_reason,current_pnl_dollars,current_trade_return_pct,current_account_return_pct,forward_return_1d,forward_return_3d,forward_return_5d,forward_return_10d,forward_return_20d,max_favorable_excursion_20d,max_adverse_excursion_20d,stopped_out_then_20d_positive,stopped_out_then_20d_above_target_1,stopped_out_then_20d_above_target_2,recovered_after_stop_within_20d,days_to_stop,days_to_target_1_if_any,days_to_target_2_if_any,days_to_max_favorable_20d,days_to_max_adverse_20d
2024-01-10,SMCI,34.237998962402344,2024-01-11,34.48400115966797,0.007185063517753054,31.97032233646938,39.51135880606515,44.538716452462324,2024-01-17,STOP,-5.096325648716501,-0.07289405923517234,-0.050963256487165015,0.00271634798044329,-0.04693610877692367,-0.09036742673158271,0.38904141884726573,1.0386706340054235,1.071946267683241,-0.11335692684352505,True,True,True,True,4,6,7,20,4
2024-01-19,SMCI,42.33599853515625,2024-01-22,45.6349983215332,0.07792422289596956,41.53946195329939,53.826071058000835,62.01714379446847,2024-01-22,STOP,-8.282342733110681,-0.08974551372562023,-0.08727104392664296,0.030423329051530112,0.11061514158063424,0.11996888123834948,0.36911855765224555,0.8974868554408455,1.3619372527207148,-0.10115037765378931,True,True,True,True,1,7,11,20,1
2024-01-29,SMCI,49.56700134277344,2024-01-30,54.731998443603516,0.10420233140819413,49.288069111960276,65.61985710689,76.50771577017647,2024-02-05,TARGET_1,10.83312666484288,0.1989304058485175,0.12506303542636987,0.03490224333468883,0.17719444173372745,0.33828953310575627,0.5595254989882783,0.7170899541100404,0.9693598923587914,-0.08431992244034137,False,False,False,False,,5,10,14,1
2024-02-06,PLTR,21.8700008392334,2024-02-07,21.600000381469727,-0.012345699469718752,19.921393258231028,24.957214627947124,28.31442887442452,2024-02-08,TARGET_1,13.342456984383716,0.15542658274013244,0.13690966241519842,0.07910377118654788,0.1147690089261646,0.09785090569404153,0.039780470896189524,0.19615906920692594,0.23842590405453756,-0.01018524151934086,False,False,False,False,,2,,20,1
2024-02-14,HOOD,13.380000114440918,2024-02-15,13.399999618530273,0.0014947312345512387,12.59964234488351,15.000714165823801,16.60142871311733,2024-02-26,TARGET_1,12.698516381399997,0.11945631290018621,0.11461073939426158,0.002989533745209494,0.05306427743454778,0.0440956761989193,0.21898350720783188,0.34902833203860295,0.43507463355775045,-0.0268656467854983,False,False,False,False,,7,12,20,1
2024-03-05,HPE,18.100000381469727,2024-03-06,18.350000381469727,0.013812154405032029,17.571607283183507,19.906786578042166,21.463572774614605,2024-03-06,TARGET_1,9.230617177145831,0.08483848306316766,0.0747446043461444,0.03701657802062108,-0.006077381659294168,-0.0027624941080316434,-0.07292815839802946,0.004972384016081577,0.09373293065930333,-0.1008174573847912,False,False,False,False,7,1,,1,11
2024-04-01,CCJ,46.75,2024-04-02,46.2599983215332,-0.01048131932549301,43.66499819074358,51.449998583112446,56.63999884469169,2024-04-12,TARGET_1,10.287480526515424,0.11219196822070332,0.0775091296510021,0.01989305465616642,0.03443851572944512,0.04278074866310155,0.03358288117271058,0.057112260298295414,0.1379161543364229,-0.011889305166803976,False,False,False,False,,9,,9,1
2024-04-25,F,13.039999961853027,2024-04-26,12.760000228881836,-0.021472372223182323,12.196428775787354,13.8871431350708,15.014286041259766,2024-04-30,STOP,-6.339645986557002,-0.044167040986320405,-0.04432899471303009,-0.019171779197189043,-0.06825156027042523,-0.04217792886072269,-0.06978526457624279,-0.07131904201659411,0.020376193120540398,-0.06661444876354927,False,False,False,False,3,,,1,11
2024-05-13,NVAX,13.109999656677246,2024-05-14,13.399999618530273,0.022120516357551745,11.819642220224653,16.560714415141515,19.721429211752756,2024-05-15,STOP,-15.937573979241492,-0.11793712263395995,-0.11661023735290654,0.02822272274970139,0.09839816900345988,0.1281464797232177,0.18382920398163027,0.2761250938489024,0.7805971111638399,-0.1559700939113018,True,True,False,True,2,7,16,17,2
2024-05-21,IREN,7.400000095367432,2024-05-22,7.28000020980835,-0.016216200542241155,6.450285877500262,8.939428874424525,10.5988575390407,2024-06-03,TARGET_1,26.434378630501882,0.2279434913175451,0.21894307325433376,0.048648666064176505,0.05810808416175739,0.04594590153634992,0.22432436525081467,0.8783783026208323,1.0535713431880112,-0.03159340830287438,False,False,False,False,,8,12,16,3
2024-06-18,HPE,21.84000015258789,2024-06-20,22.65999984741211,0.037545773310219355,21.34974983760289,25.28049986703055,27.90099988664899,2024-06-21,STOP,-7.997460057939776,-0.05782215439683058,-0.05434139206447861,-0.016483544314852216,-0.06272897571711156,-0.04212454532354626,-0.05357143169045753,-0.05357143169045753,0.0035304467892656177,-0.10458953873979981,False,False,False,False,2,,,1,11
2024-07-08,PLTR,27.700000762939453,2024-07-09,27.93000030517578,0.008303232343013223,26.246143613542827,31.29771368844169,34.6654270717076,2024-07-25,STOP,-6.84714676775252,-0.06028845947849537,-0.04919873504521023,-0.011191385009121535,-0.002166114499581262,0.03501802478837046,0.0274367617545348,-0.13032492819211305,0.06802719648299393,-0.23988545255038396,False,False,False,False,13,,,8,20
2024-08-09,PLTR,30.010000228881836,2024-08-12,30.219999313354492,0.006997636883406377,27.365927628108434,35.92814268384661,41.636286054338726,2024-09-09,TIME_EXIT,17.399116645812995,0.14493710325238296,0.1314866766184741,-0.020993037764422184,0.03298899578699044,0.06897706052599983,0.0589803546905745,0.15294895735528224,0.1482462459092515,-0.031436097854939615,False,False,False,False,,,,20,1
2024-10-18,OKLO,18.229999542236328,2024-10-21,19.3700008392334,0.06253435686357811,16.494607840265544,25.120786837169106,30.871572835104814,2024-10-28,TARGET_1,40.11991197967532,0.29689136545041594,0.267956980916973,0.22380691311885514,0.003839807821280461,0.048272138793881814,0.18869997917924364,-0.012616541306183393,0.451729459003281,-0.1060919058409866,False,False,False,False,,6,,8,20
2024-11-13,RKLB,18.829999923706055,2024-11-14,19.43000030517578,0.031864067121655015,17.476893050330027,23.33621481486729,27.2424293245588,2024-11-14,STOP,-17.75283529635834,-0.1005201865244173,-0.09351220746994647,-0.0780668783489391,0.024429155267396974,0.07169412570045419,0.3632501423420964,0.199150292893997,0.4462171868306364,-0.1353577471336762,True,False,False,True,1,7,11,12,2
2024-11-21,AI,34.9900016784668,2024-11-22,34.5,-0.014004048441310868,31.567500114440918,40.364999771118164,46.22999954223633,2024-12-06,TARGET_1,23.32199908447268,0.1699999933657439,0.1355203140259543,0.06944831020039532,0.03915401160806109,0.0625892689812797,0.15804511329018012,0.038582406669385616,0.3066667197407156,-0.026087000750113276,False,False,False,False,,10,,12,19
2025-01-17,HOOD,48.150001525878906,2025-01-21,49.93000030517578,0.03696778240682286,46.2347492490496,57.320502417428145,64.71100452968051,2025-02-13,TARGET_2,44.193222672598665,0.29603453102668054,0.22615145688851604,0.038421566261566786,0.04589821421469442,-0.008515053674333695,0.07788161746961753,0.25524396077588163,0.34007617170339643,-0.06549169713152803,False,False,False,False,,18,18,18,5
2025-03-21,KTOS,30.809999465942383,2025-03-24,30.969999313354492,0.005193114254642417,28.743571281433105,35.422855377197266,39.87571144104004,2025-04-01,STOP,-15.801786218643173,-0.0718898314912566,-0.06594863042319433,0.055826009190808046,0.019798786787577294,-0.004219382116845027,-0.09704640775548645,0.03602728431003599,0.09589923730071925,-0.16758148988627908,True,False,False,True,7,,,19,11
2025-05-13,ACHR,11.15999984741211,2025-05-14,11.074999809265137,-0.007616490977523038,10.03774983542306,13.14949975694929,15.223999704633442,2025-05-16,TARGET_1,41.26849895749777,0.18731376825385282,0.1843943076636114,0.060931927820184084,0.19175630578695735,0.011648755933546306,-0.018817207976545736,0.09050181386122902,0.2568849043815544,-0.16523701627291332,False,False,False,False,12,3,,3,16
2025-06-09,RKLB,29.639999389648438,2025-06-10,29.56999969482422,-0.002361663166857708,26.493928364345006,35.722142355782644,41.87428501674107,2025-06-12,STOP,-24.845130641392274,-0.10402676233431385,-0.0937289626688772,-0.08333331188316828,-0.10931173541959349,-0.10425101944054194,0.1288798843956227,0.3205128271128712,0.3506932377040193,-0.1464321937231523,True,True,False,True,3,12,,19,4
2025-06-27,CORZ,16.649999618530273,2025-06-30,16.950000762939453,0.018018087164116237,15.495643888201032,19.858714512416295,22.767428261893137,2025-07-07,STOP,-20.598296257019,-0.08580276160920997,-0.08574439196263012,0.025225230385381714,0.05465464674241449,-0.1093092934848291,-0.18558554172425468,-0.17447446243410913,0.07433618081529181,-0.2672566656486639,False,False,False,False,5,,,4,9
2025-07-16,JOBY,16.329999923706055,2025-07-17,16.579999923706055,0.015309246856583192,15.101107222693308,19.537785325731548,22.49557072775704,2025-08-04,TARGET_1,38.235670227323254,0.1783947777826258,0.17409067098235934,0.08511937514651136,0.03123087760346377,0.07715861817321312,0.030006109822868776,0.0894060623785935,0.263570618778181,-0.06453556693292473,False,False,False,False,,13,,13,4
2025-08-19,INTC,25.309999465942383,2025-08-20,24.899999618530273,-0.016199125091401645,23.06357090813773,28.57285703931536,32.245714460100444,2025-08-21,STOP,-18.613287100110682,-0.07375215817376535,-0.07218188690623546,-0.06993277707479939,-0.020150147753582592,-0.03792963669416305,-0.051758178332051874,-0.016199125091401645,0.039357411937750664,-0.08514052065716049,False,False,False,True,2,,,4,2
2025-09-05,RIVN,14.210000038146973,2025-09-08,14.234999656677246,0.0017592975695399637,13.247678518295288,16.209641933441162,18.184284210205078,2025-09-12,STOP,-16.02489820861814,-0.06935870475548855,-0.06697883470919305,-0.015482073640972205,-0.021111906398980196,-0.052779732441000204,0.011963411388992151,-0.039408896418956285,0.1359325933463611,-0.1169652266954585,False,False,False,True,5,,,15,5
2025-09-23,BBAI,7.989999771118164,2025-09-24,8.039999961853027,0.006257846328807437,7.2621428455625265,9.595714194434029,11.15142842701503,2025-09-25,STOP,-21.219222138813535,-0.09674839800760693,-0.09505616121332852,-0.05006253191347654,-0.1576970948859422,-0.18397995398014022,-0.06883601122065308,-0.11389234962202743,0.1679104960043536,-0.21268657291795046,False,False,False,True,2,,,15,5
2025-10-10,PATH,17.049999237060547,2025-10-13,17.31999969482422,0.015835804683016486,15.602499621255058,20.75499984196254,24.189999989100862,2025-10-17,STOP,-19.08302080590383,-0.09916282354683903,-0.09446617014376302,0.005278601561005569,-0.02111429437606205,-0.09442813658182969,-0.0334310686410616,-0.1612902738639529,0.01501156082349886,-0.21824479212322268,False,False,False,True,5,,,4,20
2025-10-28,SOFI,31.65999984741211,2025-10-29,31.4950008392334,-0.005211592197534309,28.66910777773176,37.146786962236675,42.79857308523995,2025-10-31,STOP,-14.286940311704342,-0.08972513053504716,-0.0781022841480414,-0.024005061040578535,-0.06253946783888487,-0.07233098607755983,-0.02242574503773065,-0.10518003599985015,0.03921253119842727,-0.2532148013641342,False,False,False,True,3,,,11,18
2025-11-05,RIVN,15.420000076293945,2025-11-06,15.260000228881836,-0.010376124942962028,14.147321632930211,17.485357420785085,19.710714612688335,2025-11-11,TARGET_1,24.31106910841808,0.14582943371727008,0.14416034861818675,-0.012970156178702452,0.06420231946951471,0.13618679449283388,-0.04539557754875023,0.171206185252039,0.19069461361504425,-0.08584537352347654,False,False,False,False,12,4,,20,12
2025-12-02,INTC,43.470001220703125,2025-12-03,43.38999938964844,-0.0018403917370166667,40.47785609109061,49.2142859867641,55.038572583879755,2025-12-04,STOP,-11.822133191789902,-0.0671155413579605,-0.06127040074753844,0.006671200659915444,-0.047389034171683275,-0.06832300752935394,-0.14170691682608771,-0.15113870509152816,0.0145194993541653,-0.19451483626253563,False,False,False,False,2,,,1,16
2026-01-08,F,14.399999618530273,2026-01-09,14.350000381469727,-0.0034721693322968816,13.980357544762748,15.089286054883683,15.82857172829764,2026-01-12,STOP,-4.607914045061335,-0.02575908201259014,-0.025440095092806668,-0.01388887601134181,-0.02916667273751028,-0.04097216767661216,-0.05833327924763576,-0.041666628034025543,0.004181147341282276,-0.07804883689617625,False,False,False,False,2,,,1,7
2026-01-27,CORZ,19.940000534057617,2026-01-28,20.020000457763672,0.004012032174693925,18.47167910848345,23.116643156324116,26.21328585488456,2026-01-29,STOP,-12.546730797903876,-0.07733872696690125,-0.07107819673895577,-0.022567740766648914,-0.09779341578295564,-0.11033102828567343,-0.09077238339083915,-0.09327986762962581,0.001997952410795145,-0.2652347801299627,False,False,False,False,2,,,1,7
2026-02-04,HPE,23.239999771118164,2026-02-05,22.920000076293945,-0.013769350171074612,21.810535839625768,25.1389285496303,27.357857022966655,2026-02-18,STOP,-7.926689657211284,-0.04840594384708108,-0.04834132165829625,-0.02280553751571779,0.02882960769761267,0.02452666525120173,-0.07960414800730076,-0.07616181046453219,0.06369978532341825,-0.13438044997616228,False,False,False,False,9,,,5,13
2026-03-19,RIVN,16.1200008392334,2026-03-20,15.960000038146973,-0.009925607491099497,14.582035541534424,18.71592903137207,21.471858024597168,2026-03-30,STOP,-12.54532046985625,-0.08633862740093934,-0.08039466172600424,-0.07506209235897487,-0.0012407231217379522,-0.05645165965944832,-0.04466508580761119,0.06885847675028511,0.11372177794769178,-0.10776944003243927,True,False,False,True,7,,,20,7
2026-05-29,HPE,43.040000915527344,2026-06-01,44.18000030517578,0.026486974103133942,41.15974978038243,50.22050135476249,56.2610024043492,2026-06-02,TARGET_2,36.110466296604756,0.2734495702970401,0.25163848696025376,0.09200741171555182,0.28136617919965445,0.1431226699902275,0.11919138346410318,0.03183082952469274,0.4542779437797553,-0.03961068329361206,False,False,False,False,,2,2,2,20
