ticker,asset_type,first_available_date,last_available_date,requested_start_date,requested_end_date,has_full_lookback_coverage,has_full_forward_coverage,missing_ohlcv_count,missing_ohlcv_pct,zero_volume_count,zero_volume_pct,abnormal_volume_flag,stale_data_flag,duplicate_date_count,non_monotonic_date_flag,split_or_adjustment_anomaly_flag,extreme_gap_count,extreme_gap_examples,metadata_available_flag,metadata_rejected_flag,metadata_rejection_reason,download_error_flag,download_error_message,yfinance_404_flag,latest_close,latest_price_under_50_flag,avg_dollar_volume_20d,avg_dollar_volume_60d,data_quality_grade,data_quality_reason
ASTS,EQUITY,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,keyword_excluded:SPAC,False,no_price_data_after_download_or_not_attempted,False,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:keyword_excluded:SPAC
BITF,,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,metadata_incomplete,False,no_price_data_after_download_or_not_attempted,True,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:metadata_incomplete
CELH,EQUITY,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,exchange_excluded,False,no_price_data_after_download_or_not_attempted,False,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:exchange_excluded
CLSK,EQUITY,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,exchange_excluded,False,no_price_data_after_download_or_not_attempted,False,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:exchange_excluded
CRSP,EQUITY,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,exchange_excluded,False,no_price_data_after_download_or_not_attempted,False,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:exchange_excluded
GEV,EQUITY,2024-04-24,2026-06-29,2024-01-01,2026-06-30,False,True,0,0.0,0,0.0,False,False,0,False,False,0,,True,False,,False,,False,1102.510009765625,False,3249857428.7231445,2774570192.15566,FAIL,insufficient_factor_lookback
IOVA,EQUITY,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,exchange_excluded,False,no_price_data_after_download_or_not_attempted,False,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:exchange_excluded
MARA,EQUITY,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,exchange_excluded,False,no_price_data_after_download_or_not_attempted,False,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:exchange_excluded
MDB,EQUITY,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,exchange_excluded,False,no_price_data_after_download_or_not_attempted,False,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:exchange_excluded
MIRM,EQUITY,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,exchange_excluded,False,no_price_data_after_download_or_not_attempted,False,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:exchange_excluded
NNE,EQUITY,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,exchange_excluded,False,no_price_data_after_download_or_not_attempted,False,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:exchange_excluded
NTLA,EQUITY,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,exchange_excluded,False,no_price_data_after_download_or_not_attempted,False,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:exchange_excluded
RDDT,EQUITY,2024-04-18,2026-06-29,2024-01-01,2026-06-30,False,True,0,0.0,0,0.0,False,False,0,False,False,1,2024-10-30,True,False,,False,,False,174.38999938964844,False,770773210.2375793,782599695.3873444,FAIL,insufficient_factor_lookback
RIOT,EQUITY,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,exchange_excluded,False,no_price_data_after_download_or_not_attempted,False,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:exchange_excluded
SOUN,EQUITY,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,exchange_excluded,False,no_price_data_after_download_or_not_attempted,False,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:exchange_excluded
SQ,NONE,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,metadata_incomplete,False,no_price_data_after_download_or_not_attempted,False,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:metadata_incomplete
SYM,EQUITY,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,exchange_excluded,False,no_price_data_after_download_or_not_attempted,False,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:exchange_excluded
TGTX,EQUITY,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,exchange_excluded,False,no_price_data_after_download_or_not_attempted,False,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:exchange_excluded
TTD,EQUITY,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,exchange_excluded,False,no_price_data_after_download_or_not_attempted,False,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:exchange_excluded
U,EQUITY,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,keyword_excluded:UNIT,False,no_price_data_after_download_or_not_attempted,False,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:keyword_excluded:UNIT
VKTX,EQUITY,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,exchange_excluded,False,no_price_data_after_download_or_not_attempted,False,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:exchange_excluded
