ticker,prior_theme,resolved_theme,resolved_subtheme,confidence,evidence_source,notes
AAPL,mega-cap platform,mega-cap platform,consumer devices / services,HIGH,static_taxonomy,
ABNB,consumer internet,consumer internet,travel marketplace,HIGH,static_taxonomy,
ACHR,EV / mobility,EV / mobility,eVTOL,HIGH,static_taxonomy,
ADBE,software,software,creative software,HIGH,static_taxonomy,
AFRM,fintech,fintech,consumer credit,HIGH,static_taxonomy,
AI,AI / software,AI / software,enterprise AI,HIGH,static_taxonomy,
AMAT,semiconductor / hardware,semiconductor / hardware,semicap equipment,HIGH,static_taxonomy,
AMD,semiconductor / hardware,semiconductor / hardware,accelerators / CPU,HIGH,static_taxonomy,
ANET,AI infrastructure,AI infrastructure,networking,HIGH,static_taxonomy,
APP,software,software,adtech,HIGH,static_taxonomy,
ARM,semiconductor / hardware,semiconductor / hardware,IP / architecture,HIGH,static_taxonomy,
ASML,semiconductor / hardware,semiconductor / hardware,lithography,HIGH,static_taxonomy,
ASTS,UNMAPPED_LOW_CONFIDENCE,consumer internet,consumer platform,MEDIUM,name_keyword,resolved from listing/security name
AVAV,space / defense / nuclear,space / defense / nuclear,drones,HIGH,static_taxonomy,
AVGO,semiconductor / hardware,semiconductor / hardware,networking silicon,HIGH,static_taxonomy,
BA,space / defense / nuclear,space / defense / nuclear,aerospace,HIGH,static_taxonomy,
BBAI,AI / software,AI / software,defense AI,HIGH,static_taxonomy,
BEAM,biotech,biotech,gene editing,HIGH,static_taxonomy,
BITF,UNMAPPED_LOW_CONFIDENCE,UNMAPPED_LOW_CONFIDENCE,manual_review_required,LOW,conservative_fallback,manual review required
BWXT,space / defense / nuclear,space / defense / nuclear,nuclear services,HIGH,static_taxonomy,
CAVA,consumer growth,consumer growth,restaurants,HIGH,static_taxonomy,
CCJ,space / defense / nuclear,space / defense / nuclear,uranium,HIGH,static_taxonomy,
CEG,power / electrification,power / electrification,nuclear utility,HIGH,static_taxonomy,
CELH,UNMAPPED_LOW_CONFIDENCE,consumer internet,consumer platform,MEDIUM,name_keyword,resolved from listing/security name
CLSK,UNMAPPED_LOW_CONFIDENCE,consumer internet,consumer platform,MEDIUM,name_keyword,resolved from listing/security name
COIN,crypto-adjacent / high beta,crypto-adjacent / high beta,crypto exchange,HIGH,static_taxonomy,
CORZ,crypto-adjacent / high beta,crypto-adjacent / high beta,bitcoin mining / AI compute,HIGH,static_taxonomy,
CRM,software,software,enterprise SaaS,HIGH,static_taxonomy,
CRSP,UNMAPPED_LOW_CONFIDENCE,biotech,life sciences,MEDIUM,name_keyword,resolved from listing/security name
CRWD,software,software,cybersecurity,HIGH,static_taxonomy,
DASH,consumer internet,consumer internet,delivery marketplace,HIGH,static_taxonomy,
DDOG,software,software,observability,HIGH,static_taxonomy,
DELL,AI infrastructure,AI infrastructure,servers,HIGH,static_taxonomy,
DNA,biotech,biotech,synthetic biology,HIGH,static_taxonomy,
DUOL,consumer internet,consumer internet,education app,HIGH,static_taxonomy,
EDIT,biotech,biotech,gene editing,HIGH,static_taxonomy,
ELF,consumer growth,consumer growth,beauty,HIGH,static_taxonomy,
ESTC,software,software,search / observability,HIGH,static_taxonomy,
ETN,power / electrification,power / electrification,electrical equipment,HIGH,static_taxonomy,
F,EV / mobility,EV / mobility,auto OEM,HIGH,static_taxonomy,
GD,space / defense / nuclear,space / defense / nuclear,defense prime,HIGH,static_taxonomy,
GEV,power / electrification,power / electrification,grid / turbines,HIGH,static_taxonomy,
GM,EV / mobility,EV / mobility,auto OEM,HIGH,static_taxonomy,
HOOD,fintech,fintech,brokerage,HIGH,static_taxonomy,
HPE,AI infrastructure,AI infrastructure,servers / networking,HIGH,static_taxonomy,
HUT,crypto-adjacent / high beta,crypto-adjacent / high beta,bitcoin mining,HIGH,static_taxonomy,
INTC,semiconductor / hardware,semiconductor / hardware,CPU / foundry,HIGH,static_taxonomy,
IOVA,UNMAPPED_LOW_CONFIDENCE,biotech,life sciences,MEDIUM,name_keyword,resolved from listing/security name
IREN,crypto-adjacent / high beta,crypto-adjacent / high beta,bitcoin mining / AI compute,HIGH,static_taxonomy,
ISRG,robotics / automation,robotics / automation,surgical robotics,HIGH,static_taxonomy,
JOBY,EV / mobility,EV / mobility,eVTOL,HIGH,static_taxonomy,
KLAC,semiconductor / hardware,semiconductor / hardware,semicap equipment,HIGH,static_taxonomy,
KTOS,space / defense / nuclear,space / defense / nuclear,defense systems,HIGH,static_taxonomy,
LCID,EV / mobility,EV / mobility,EV OEM,HIGH,static_taxonomy,
LEU,space / defense / nuclear,space / defense / nuclear,nuclear fuel,HIGH,static_taxonomy,
LI,EV / mobility,EV / mobility,China EV,HIGH,static_taxonomy,
LMT,space / defense / nuclear,space / defense / nuclear,defense prime,HIGH,static_taxonomy,
LRCX,semiconductor / hardware,semiconductor / hardware,semicap equipment,HIGH,static_taxonomy,
MARA,UNMAPPED_LOW_CONFIDENCE,consumer internet,consumer platform,MEDIUM,name_keyword,resolved from listing/security name
MDB,UNMAPPED_LOW_CONFIDENCE,consumer internet,consumer platform,MEDIUM,name_keyword,resolved from listing/security name
MIRM,UNMAPPED_LOW_CONFIDENCE,biotech,life sciences,MEDIUM,name_keyword,resolved from listing/security name
MRNA,biotech,biotech,mRNA therapeutics,HIGH,static_taxonomy,
MRVL,semiconductor / hardware,semiconductor / hardware,data-center silicon,HIGH,static_taxonomy,
MSFT,mega-cap platform,mega-cap platform,cloud / AI platform,HIGH,static_taxonomy,
MSTR,crypto-adjacent / high beta,crypto-adjacent / high beta,bitcoin treasury,HIGH,static_taxonomy,
MU,semiconductor / hardware,semiconductor / hardware,memory,HIGH,static_taxonomy,
NEE,power / electrification,power / electrification,utility / renewables,HIGH,static_taxonomy,
NET,software,software,edge cloud,HIGH,static_taxonomy,
NIO,EV / mobility,EV / mobility,China EV,HIGH,static_taxonomy,
NNE,UNMAPPED_LOW_CONFIDENCE,consumer internet,consumer platform,MEDIUM,name_keyword,resolved from listing/security name
NOC,space / defense / nuclear,space / defense / nuclear,defense prime,HIGH,static_taxonomy,
NOW,software,software,workflow SaaS,HIGH,static_taxonomy,
NTLA,UNMAPPED_LOW_CONFIDENCE,biotech,life sciences,MEDIUM,name_keyword,resolved from listing/security name
NVAX,biotech,biotech,vaccines,HIGH,static_taxonomy,
NVDA,semiconductor / hardware,semiconductor / hardware,AI accelerators,HIGH,static_taxonomy,
OKLO,space / defense / nuclear,space / defense / nuclear,advanced nuclear,HIGH,static_taxonomy,
OKTA,software,software,identity,HIGH,static_taxonomy,
PANW,software,software,cybersecurity,HIGH,static_taxonomy,
PATH,AI / software,AI / software,automation software,HIGH,static_taxonomy,
PLTR,AI / software,AI / software,analytics / defense AI,HIGH,static_taxonomy,
PWR,power / electrification,power / electrification,grid services,HIGH,static_taxonomy,
PYPL,fintech,fintech,payments,HIGH,static_taxonomy,
QCOM,semiconductor / hardware,semiconductor / hardware,mobile / edge chips,HIGH,static_taxonomy,
QQQ,UNMAPPED_LOW_CONFIDENCE,UNMAPPED_LOW_CONFIDENCE,manual_review_required,LOW,conservative_fallback,manual review required
RBLX,consumer internet,consumer internet,gaming platform,HIGH,static_taxonomy,
RDDT,consumer internet,consumer internet,social platform,HIGH,static_taxonomy,
RIOT,UNMAPPED_LOW_CONFIDENCE,consumer internet,consumer platform,MEDIUM,name_keyword,resolved from listing/security name
RIVN,EV / mobility,EV / mobility,EV OEM,HIGH,static_taxonomy,
RKLB,space / defense / nuclear,space / defense / nuclear,space launch,HIGH,static_taxonomy,
ROKU,consumer internet,consumer internet,streaming platform,HIGH,static_taxonomy,
RTX,space / defense / nuclear,space / defense / nuclear,defense prime,HIGH,static_taxonomy,
RXRX,biotech,biotech,AI drug discovery,HIGH,static_taxonomy,
S,software,software,cybersecurity,HIGH,static_taxonomy,
SDGR,biotech,biotech,computational drug discovery,HIGH,static_taxonomy,
SHOP,software,software,commerce platform,HIGH,static_taxonomy,
SMCI,AI infrastructure,AI infrastructure,servers,HIGH,static_taxonomy,
SMR,space / defense / nuclear,space / defense / nuclear,small modular nuclear,HIGH,static_taxonomy,
SNOW,software,software,data cloud,HIGH,static_taxonomy,
SO,power / electrification,power / electrification,utility,HIGH,static_taxonomy,
SOFI,fintech,fintech,consumer finance,HIGH,static_taxonomy,
SOUN,UNMAPPED_LOW_CONFIDENCE,consumer internet,consumer platform,MEDIUM,name_keyword,resolved from listing/security name
SPOT,consumer internet,consumer internet,audio streaming,HIGH,static_taxonomy,
SPY,UNMAPPED_LOW_CONFIDENCE,UNMAPPED_LOW_CONFIDENCE,manual_review_required,LOW,conservative_fallback,manual review required
SQ,UNMAPPED_LOW_CONFIDENCE,UNMAPPED_LOW_CONFIDENCE,manual_review_required,LOW,conservative_fallback,manual review required
SYM,UNMAPPED_LOW_CONFIDENCE,consumer internet,consumer platform,MEDIUM,name_keyword,resolved from listing/security name
TEAM,software,software,collaboration SaaS,HIGH,static_taxonomy,
TER,semiconductor / hardware,semiconductor / hardware,test equipment / robotics,HIGH,static_taxonomy,
TGTX,UNMAPPED_LOW_CONFIDENCE,biotech,life sciences,MEDIUM,name_keyword,resolved from listing/security name
TLN,power / electrification,power / electrification,power producer,HIGH,static_taxonomy,
TSLA,EV / mobility,EV / mobility,EV / autonomy,HIGH,static_taxonomy,
TSM,semiconductor / hardware,semiconductor / hardware,foundry,HIGH,static_taxonomy,
TTD,UNMAPPED_LOW_CONFIDENCE,consumer internet,consumer platform,MEDIUM,name_keyword,resolved from listing/security name
U,UNMAPPED_LOW_CONFIDENCE,software,software,MEDIUM,name_keyword,resolved from listing/security name
UBER,consumer internet,consumer internet,mobility marketplace,HIGH,static_taxonomy,
UPST,fintech,fintech,AI lending,HIGH,static_taxonomy,
VKTX,UNMAPPED_LOW_CONFIDENCE,biotech,life sciences,MEDIUM,name_keyword,resolved from listing/security name
VST,power / electrification,power / electrification,power producer,HIGH,static_taxonomy,
XPEV,EV / mobility,EV / mobility,China EV,HIGH,static_taxonomy,
ZS,software,software,cybersecurity,HIGH,static_taxonomy,
